,id_x,matchid,player,championid,ss1,ss2,role,position,id_y,gameid,platformid,queueid,seasonid,duration,creation,version,id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
0,9,10,1,19,4,11,NONE,JUNGLE,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
1,10,10,2,267,3,4,DUO_SUPPORT,BOT,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
2,11,10,3,119,7,4,DUO_CARRY,BOT,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
3,12,10,4,114,12,4,SOLO,TOP,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
4,13,10,5,112,4,3,SOLO,MID,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
5,14,10,6,72,11,4,NONE,JUNGLE,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
6,15,10,7,3,4,12,SOLO,TOP,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
7,16,10,8,103,14,4,SOLO,MID,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
8,17,10,9,222,7,4,DUO_CARRY,BOT,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
9,18,10,10,161,14,4,DUO_SUPPORT,BOT,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675,10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
10,19,11,1,115,3,4,DUO_SUPPORT,BOT,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
11,20,11,2,69,4,7,DUO_CARRY,BOT,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
12,21,11,3,157,14,4,SOLO,MID,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
13,22,11,4,4,4,12,SOLO,TOP,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
14,23,11,5,28,4,11,NONE,JUNGLE,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
15,24,11,6,51,7,4,DUO_CARRY,BOT,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
16,25,11,7,62,14,4,SOLO,TOP,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
17,26,11,8,134,4,1,SOLO,MID,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
18,27,11,9,43,14,4,DUO_SUPPORT,BOT,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675,11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
